subject,predicate,object
苏州轨道交通汽车客运站~庞金路站区间联络通道及泵站工程,参与单位,兖矿新陆公司
上海轨道交通2号线东延伸唐镇站~唐镇东站区间联络通道及泵站冻结加固工程,施工单位,中交隧道局
武汉轨道交通地铁3号线19标市民之家~后湖大道站区间联络通道及泵站冻结工程,建设单位,武汉地铁集团
武汉轨道交通地铁3号线19标市民之家~后湖大道站区间联络通道及泵站冻结工程,工期,2014年5月至2014年12月
上海轨道交通7号线23B云台路站~高科西路站(东明路~云台路)区间联络通道及泵站冻结工程,冻结长度,17.9米
上海轨道交通7号线23B云台路站~高科西路站(东明路~云台路)区间联络通道及泵站冻结工程,泵站数量,13座
上海轨道交通11号线GF-13标严御路站~御桥路站区间联络通道及泵站冻结加固工程,技术单位,约翰芬雷华能设计公司
上海轨道交通11号线GF-13标严御路站~御桥路站区间联络通道及泵站冻结加固工程,建设单位,腾达建设集团
上海轨道交通11号线GF-13标严御路站~御桥路站区间联络通道及泵站冻结加固工程,建设单位,兖矿新陆公司
上海轨道交通11号线GF-13标严御路站~御桥路站区间联络通道及泵站冻结加固工程,施工时间,2012年4月至2012年8月
上海轨道交通2号线东延伸川沙东站~航殷站区间泵站冻结加固工程,施工单位,上海城建集团
上海轨道交通2号线东延伸川沙东站~航殷站区间泵站冻结加固工程,合作单位,天地科技
上海轨道交通2号线东延伸川沙东站~航殷站区间泵站冻结加固工程,合作单位,兖矿新陆公司
上海轨道交通2号线东延伸川沙东站~航殷站区间泵站冻结加固工程,施工时间,2009年3月至2009年5月
天津地铁3号线第十四合同段宜兴埠站~张兴庄站区间联络通道及泵站冻结加固工程,冻结长度,19.8米
天津地铁3号线第十四合同段宜兴埠站~张兴庄站区间联络通道及泵站冻结加固工程,泵站数量,15座
上海轨道交通10号线11标航华新村站~紫藤路站(航中路站~外环路站)区间联络通道及泵站冻结工程,建设单位,上海轨道交通10号线11标
上海轨道交通10号线11标航华新村站~紫藤路站(航中路站~外环路站)区间联络通道及泵站冻结工程,工期,2008年2月-2008年9月
宁波地铁2号线9标孔浦站~大通桥站区间联络通道及泵站,技术单位,大地开发集团
昆明轨道交通2号线昆明北站~圆通街站区间联络通道及泵站,施工单位,中铁二局
昆明轨道交通2号线昆明北站~圆通街站区间联络通道及泵站,参与单位,约翰芬雷华能设计公司
昆明轨道交通2号线昆明北站~圆通街站区间联络通道及泵站,参与单位,兖矿新陆公司
昆明轨道交通2号线昆明北站~圆通街站区间联络通道及泵站,实施时间,2013年1月-2013年7月
上海轨道交通12号线30标金京路站~申江路站区间联络通道及泵站冻结加固工程,长度,17.12
上海轨道交通12号线30标金京路站~申江路站区间联络通道及泵站冻结加固工程,宽度,12.8
上海轨道交通12号线30标金京路站~申江路站区间联络通道及泵站冻结加固工程,项目编号,726
上海轨道交通12号线30标金京路站~申江路站区间联络通道及泵站冻结加固工程,涵盖区间,金京路站~申江路站区间
上海轨道交通12号线30标金京路站~申江路站区间联络通道及泵站冻结加固工程,涵盖区间,申江路站~中央风井区间
上海轨道交通12号线30标金京路站~申江路站区间联络通道及泵站冻结加固工程,涵盖区间,中央风井~金海路站区间
武汉轨道交通2号线一期10标中山公园站~青年路站~王家墩东站区间联络通道及泵站冻结加固工程,技术单位,兖矿新陆公司
南京轨道交通3号线XK04标吉印大道站~秣周路站区间联络通道及泵站冻结加固工程,施工单位,中铁十八局
南京轨道交通3号线XK04标吉印大道站~秣周路站区间联络通道及泵站冻结加固工程,设计单位,约翰芬雷华能设计公司
南京轨道交通3号线XK04标吉印大道站~秣周路站区间联络通道及泵站冻结加固工程,参与单位,兖矿新陆公司
南京轨道交通3号线XK04标吉印大道站~秣周路站区间联络通道及泵站冻结加固工程,施工时间,2012年8月至2013年3月
苏州轨道交通1号线I-TS-01标木渎站~金枫路站区间联络通道及泵站冻结加固工程,建设单位,苏州轨道交通1号线I-TS-01标
苏州轨道交通1号线I-TS-01标木渎站~金枫路站区间联络通道及泵站冻结加固工程,工期,2010年8月至2010年12月
苏州轨道交通1号线I-TS-01标木渎站~金枫路站区间联络通道及泵站冻结加固工程,工期时长,5个月
上海轨道交通8号线成山路站~杨思站区间联络通道及泵站冻结工程,工程量,冻结长度18.85，泵站长度12.8
上海轨道交通8号线成山路站~杨思站区间联络通道及泵站冻结工程,建设单位,宏润建设集团
上海轨道交通8号线成山路站~杨思站区间联络通道及泵站冻结工程,参与单位,天地科技
上海轨道交通8号线成山路站~杨思站区间联络通道及泵站冻结工程,参与单位,兖矿新陆公司
上海轨道交通8号线成山路站~杨思站区间联络通道及泵站冻结工程,施工时间,2007年12月-2008年4月
上海轨道交通10号线外环路站~龙柏新村站(外环路站~虹井路站)区间联络通道及泵站冻结工程,施工单位,兖矿新陆公司
上海轨道交通8号线曲阳路站~虹口足球场站区间联络通道及泵站冻结工程,建设时间,2005年2月-2005年7月
南京轨道交通1号线TA7标张府园站~三山街区间联络通道及泵站冻结工程,建设时间,2003年3月-2003年8月
上海轨道交通14号线真光路站~真光新村站区间联络通道及泵站工程,覆土厚度,19.388米
郑州地铁4号线会展中心~商鼎路站区间联络通道,覆土厚,28.336米
杭州地铁6号线08标建业路~长河路区间1号联络通道,轨面标高,-12.939
杭州地铁8号线一期工程河庄站~河景路站1号联络通道,中心标高,-15.945
南京地铁5号线吉印大道~九龙湖区间矿山法联络通道,埋深,10.702米
杭州地铁7号线农都路~耕文路区间联络通道,施工单位,中煤隧道公司
杭州地铁7号线农都路~耕文路区间联络通道,建设单位,杭州地铁集团
杭州地铁7号线农都路~耕文路区间联络通道,设计单位,江苏第一工业设计公司
杭州地铁7号线农都路~耕文路区间联络通道,施工时间,2019年12月
郑州地铁3号线黄河路~农业路区间联络通道,建设单位,郑州城轨公司
济南轨道交通R2线历山北路站~二环东路站区间2号联络通道,埋深,22.16米
历山北路站大里程端头冷冻加固,埋深,22.16米
上海轨道交通18号线9标芳芯路站~龙阳路站区间联络通道及泵房,中心标高,-19.975
杭州杭富城际铁路SGHF-7标高~富区间2号联络通道,工程长度,15.2米
杭州杭富城际铁路SGHF-7标高~富区间2号联络通道,建设单位,杭州地铁集团
杭州杭富城际铁路SGHF-7标高~富区间2号联络通道,设计单位,中国电建
杭州杭富城际铁路SGHF-7标高~富区间2号联络通道,施工单位,中煤隧道公司
杭州杭富城际铁路SGHF-7标高~富区间2号联络通道,建设时间,2019年11月
上海轨道交通15号线古北路站~天山路站1号联络通道,建设单位,上海申通地铁集团
南通地铁1号线平潮站~南通西站联络通道工程,施工单位,中煤隧道公司
南通地铁1号线平潮站~南通西站联络通道工程,建设单位,通用技术设计公司
南通地铁1号线平潮站~南通西站联络通道工程,管理单位,南通城轨公司
南通地铁1号线平潮站~南通西站联络通道工程,长度,14.19公里
南通地铁1号线平潮站~南通西站联络通道工程,施工时间,2019年10月
杭州地铁6号线中医院大学~伟业路站区间2号联络通道,中心标高,-11.954
杭州地铁6号线中医院大学~伟业路站区间2号联络通道,对应条目,682
上海轨道交通15号线古北路站~天山路站2号联络通道,中心标高,-25.161
杭州地铁1号线南阳大道站~向阳路站区间1号隧道联络通道及泵站,中心标高,16.268
天津地铁4号线南段工程5合同跃进北路站~航双路站区间联络通道及泵站,施工时间,2019年10月
上海轨道交通14号线真光路站~铜川路站区间联络通道及泵站工程,埋深,22.6米
上海轨道交通14号线真光路站~铜川路站区间联络通道及泵站工程,施工时间,2019年8月—2019年10月
上海轨道交通18号线御桥站~莲溪路站区间联络通道及泵房工程,中心标高,-22.858
杭州地铁6号线中医院大学~伟业路站区间1号联络通道,中心标高,-4.775米
杭州地铁6号线中医院大学~伟业路站区间1号联络通道,项目编号,681
杭州地铁6号线中医院大学~伟业路站区间1号联络通道,施工时间,2019年9月
杭州地铁6号线中医院大学~伟业路站区间1号联络通道,设计单位,天地科技
杭州地铁6号线中医院大学~伟业路站区间1号联络通道,施工单位,中煤隧道公司
杭州地铁集团,委托单位,天地科技
昆明轨道交通4号线昆明东站~麻苴站2号联络通道,施工时间,2019年6月到2019年9月
杭州地铁6号线公建中心站~建业路站联络通道,中心标高,-10.983
郑州地铁3号线东风路~农业路区间联络通道,轨面标高,74.354
郑州地铁3号线东风路~农业路区间联络通道,建设单位,郑州城轨公司
郑州地铁3号线东风路~农业路区间联络通道,设计单位,通用技术设计公司
郑州地铁3号线东风路~农业路区间联络通道,施工单位,中煤隧道公司
郑州地铁3号线东风路~农业路区间联络通道,建设周期,2019年6月至2019年9月
上海轨道交通15号线吴中路~姚虹路联络通道,埋深,28.4米
上海轨道交通15号线吴中路~姚虹路联络通道,建设单位,上海申通地铁集团
上海轨道交通15号线吴中路~姚虹路联络通道,设计单位,南京设计院
上海轨道交通15号线吴中路~姚虹路联络通道,施工单位,中煤隧道公司
上海轨道交通15号线吴中路~姚虹路联络通道,施工时间,2019年6月至2019年9月
杭州地铁5号线新城路站~香樟路站区间2号联络通道,轨面标高,-11.552
杭州地铁5号线新城路站~香樟路站区间2号联络通道,设计单位,江苏第一工业设计公司
杭州地铁5号线新城路站~香樟路站区间2号联络通道,施工单位,中煤隧道公司
杭州地铁5号线新城路站~香樟路站区间2号联络通道,建设周期,2019年5月至2019年8月
上海轨道交通15号线梅岭北路~铜川路区间联络通道,施工时间,2019年5月-2019年7月
昆明轨道交通4号线昆明东站~麻苴站1号联络通道,埋深,12.04米
昆明轨道交通4号线昆明东站~麻苴站1号联络通道,建设单位,昆明城轨集团
昆明轨道交通4号线昆明东站~麻苴站1号联络通道,设计单位,济南设计公司
昆明轨道交通4号线昆明东站~麻苴站1号联络通道,施工单位,中煤隧道公司
昆明轨道交通4号线昆明东站~麻苴站1号联络通道,施工时间,2019年4月至2019年7月
郑州地铁4号线龙湖内环路~龙湖岛区间联络通道,设计单位,济南设计公司
济南地铁R3线工业北路站~西周庄站2号联络通道,施工时间,2019年2月至2019年5月
郑州地铁4号线会展中心~如意湖北站区间联络通道,埋深,26米
郑州地铁4号线会展中心~如意湖北站区间联络通道,施工时间,2019年1月至2019年4月
郑州地铁4号线会展中心~如意湖北站区间联络通道,建设单位,郑州城轨公司
郑州地铁4号线会展中心~如意湖北站区间联络通道,设计单位,济南设计公司
郑州地铁4号线会展中心~如意湖北站区间联络通道,施工单位,中煤隧道公司
杭州地铁5号线火车南站~新城路站区间联络通道,轨面标高,-12.893
上海轨道交通15号线武威东路站~上海西站区间2号联络通道及泵站工程,中心标高,-22.967
上海轨道交通15号线武威东路站~上海西站区间2号联络通道及泵站工程,项目编号,659
徐州轨道交通2号线大龙湖站~市政府站区间1号联络通道及泵房工程,覆土,21.00米
济南地铁R3线工业北路站~西周庄站1号联络通道,覆土深,15米
郑州地铁4号线龙源十一街~龙湖内环路区间联络通道,中心标高,67.726
郑州地铁4号线龙源十一街~龙湖内环路区间联络通道,项目编号,661
郑州地铁4号线龙源十一街~龙湖内环路区间联络通道,建设单位,郑州城轨公司
郑州地铁4号线龙源十一街~龙湖内环路区间联络通道,设计单位,济南设计公司
郑州地铁4号线龙源十一街~龙湖内环路区间联络通道,施工单位,中煤隧道公司
郑州地铁4号线龙源十一街~龙湖内环路区间联络通道,建设周期,2019年1月至2019年5月
无锡地铁3号线吴桥~盛岸1号联络通道,埋深,16.6米
无锡地铁3号线吴桥~盛岸1号联络通道,建设单位,无锡地铁集团
无锡地铁3号线吴桥~盛岸1号联络通道,设计单位,济南设计公司
无锡地铁3号线吴桥~盛岸1号联络通道,施工单位,中煤隧道公司
无锡地铁3号线吴桥~盛岸1号联络通道,施工时间,2019年1月至2019年4月
南昌地铁2号线八一广场站~永叔路站区间联络通道,中心标高,8.812
常州轨道交通2号线紫云路~青洋路区间1号联络通道,中心标高,-14.232
杭州地铁5号线三坝站~益乐路站区间联络通道,中心标高,-14.533
上海轨道交通18号线周浦站~沪南公路站区间1号联络通道及泵站工程,中心标高,-18.314
呼和浩特轨道交通1号线一期工程展览馆~万达联络通道,埋深,7.8米
京沈高铁北京望京隧道4号联络通道,轨面标高,6.998
苏州地铁3号线现代大道~娄江大道站区间联络通道,覆土深度,15米
上海轨道交通15号线祁安路站~南大路站区间联络通道及泵站,中心标高,-17.342
上海轨道交通15号线祁安路站~南大路站区间联络通道及泵站,施工单位,中煤隧道公司
苏州地铁3号线现代大道~娄江大道站区间联络通道（重叠）,施工单位,中煤隧道公司
京沈高铁北京望京隧道4号联络通道,施工单位,中煤隧道公司
京沈高铁北京望京隧道5号联络通道,施工单位,中煤隧道公司
京沈高铁北京望京隧道6号联络通道,施工单位,中煤隧道公司
呼和浩特轨道交通1号线一期工程展览馆~万达联络通道,施工单位,中煤隧道公司
上海轨道交通18号线周浦站~沪南公路站区间1号联络通道及泵站工程,施工单位,中煤隧道公司
杭州地铁5号线三坝站~益乐路站区间联络通道,施工单位,中煤隧道公司
常州轨道交通2号线紫云路~青洋路区间1号联络通道,施工单位,中煤隧道公司
常州轨道交通2号线紫云路~青洋路区间2号联络通道,施工单位,中煤隧道公司
南昌地铁2号线八一广场站~永叔路站区间联络通道,施工单位,中煤隧道公司
无锡地铁3号线三院~火车站4号联络通道,施工单位,中煤隧道公司
无锡地铁3号线三院~吴桥3号联络通道,施工单位,中煤隧道公司
无锡地铁3号线吴桥~盛岸2号联络通道,施工单位,中煤隧道公司
徐州轨道交通2号线大龙湖站~市政府站区间1号联络通道及泵房工程,施工单位,中煤隧道公司
徐州轨道交通2号线大龙湖站~市政府站区间2号联络通道,施工单位,中煤隧道公司
上海轨道交通15号线武威东路站~上海西站站区间2号联络通道及泵站工程,施工单位,中煤隧道公司
杭州地铁5号线火车南站~新城路站区间联络通道,施工单位,中煤隧道公司
南昌地铁2号线永叔路~丁公路南站区间联络通道,施工单位,中煤隧道公司
济南地铁R3线工业北路站~西周庄站1号联络通道,施工单位,中煤隧道公司
苏州轨道交通3号线现代大道~娄江大道联络通道,设计结构,上下叠加
苏州轨道交通3号线现代大道~娄江大道联络通道,建设单位,苏州城轨集团
苏州轨道交通3号线现代大道~娄江大道联络通道,施工单位,中煤隧道公司
苏州轨道交通3号线现代大道~娄江大道联络通道,覆土深度,15米
苏州轨道交通3号线现代大道~娄江大道联络通道,右线距离,7米
苏州轨道交通3号线现代大道~娄江大道联络通道,左线距离,10.528米
苏州轨道交通3号线现代大道~娄江大道联络通道,施工时间,2018年7月至2018年10月
上海轨道交通15号线铜川路站~上海西站站联络通道及泵站工程,涉及工程,联络通道
上海轨道交通15号线铜川路站~上海西站站联络通道及泵站工程,涉及工程,泵站
杭州地铁5号线浙大紫金港~三坝站区间1号联络通道,涉及工程,联络通道
杭州地铁5号线浙大紫金港~三坝站区间2号联络通道,涉及工程,联络通道
合肥轨道交通3号线淮南路站~阜阳路站区间联络通道,涉及工程,联络通道
上海轨道交通18号线周浦站~沪南公路站区间1号联络通道及泵站工程,涉及工程,联络通道
上海轨道交通18号线周浦站~沪南公路站区间1号联络通道及泵站工程,涉及工程,泵站
上海轨道交通18号线周浦站~沪南公路站区间2号联络通道及泵站工程,涉及工程,联络通道
上海轨道交通18号线周浦站~沪南公路站区间2号联络通道及泵站工程,涉及工程,泵站
苏州地铁3号线狮山路站~玉山路区间联络通道,埋深,23.80米
合肥轨道交通3号线淮南路站~阜阳路站区间联络通道,埋深,17.167米
郑州地铁2号线金河路~黄河迎宾馆区间联络通道,中心标高,70.091
郑州地铁2号线金河路~黄河迎宾馆区间联络通道,对应记录,序号626
济南地铁R3线工业北路站~王舍人站区间3号联络通道,覆土深,17.94米
济南地铁R3线工业北路站~王舍人站区间3号联络通道,数据源,项目编号624
徐州轨道交通2号线汉源大道站~新源大道站区间联络通道及泵站工程,中心标高,21.489
上海轨道交通15号线铜川路站~上海西站站联络通道及泵站工程,建设工期,2018年9月至2019年1月
上海轨道交通15号线铜川路站~上海西站站联络通道及泵站工程,工期时长,4个月
杭州地铁5号线浙大紫金港~三坝站区间2号联络通道,中心标高,-20.803
上海轨道交通13号线二期工程成山路站~东明路站区间联络通道及泵站工程,建设单位,上海申通地铁集团
上海轨道交通13号线二期工程成山路站~东明路站区间联络通道及泵站工程,设计单位,南京设计院
上海轨道交通13号线二期工程成山路站~东明路站区间联络通道及泵站工程,施工单位,中煤隧道公司
上海轨道交通13号线二期工程成山路站~东明路站区间联络通道及泵站工程,隧道标高,-22.916
上海轨道交通13号线二期工程成山路站~东明路站区间联络通道及泵站工程,长度,13.2
上海轨道交通13号线二期工程成山路站~东明路站区间联络通道及泵站工程,工期,2018年1月至2018年4月
呼和浩特轨道交通1号线孔家营站~呼钢东路站区间联络通道及泵站,覆土深,18.1米
无锡地铁3号线新锡路站~无锡新区站区间2号联络通道,施工单位,中煤隧道公司
无锡地铁3号线新锡路站~无锡新区站区间2号联络通道,建设单位,无锡地铁集团
无锡地铁3号线新锡路站~无锡新区站区间2号联络通道,设计单位,济南设计公司
无锡地铁3号线新锡路站~无锡新区站区间2号联络通道,施工时间,2018年4月至2018年7月
无锡地铁3号线新锡路站~无锡新区站区间2号联络通道,轨面标高,-18.923
无锡地铁3号线新锡路站~无锡新区站区间2号联络通道,工程规模,16.652
常州轨道交通1号线森林公园~百丈出入段联络通道,包含,联络通道
常州轨道交通1号线森林公园~百丈出入段联络通道,不含,泵站
武汉轨道交通7号线王家墩东站~新华路站区间联络通道,包含,联络通道
武汉轨道交通7号线王家墩东站~新华路站区间联络通道,不含,泵站
宁波地铁3号线一期工程明楼站~中兴大桥南站区间联络通道,包含,联络通道
宁波地铁3号线一期工程明楼站~中兴大桥南站区间联络通道,不含,泵站
上海地铁13号线华鹏路~下南路区间联络通道,包含,联络通道
上海地铁13号线华鹏路~下南路区间联络通道,不含,泵站
南京至高淳城际轨道禄口机场至溧水段工程中山东路站~中间盾构工作井盾构区间1号联络通道,包含,联络通道
南京至高淳城际轨道禄口机场至溧水段工程中山东路站~中间盾构工作井盾构区间1号联络通道,不含,泵站
上海浦东机场捷运系统工程T4预留站~S1卫星厅站~T1航站楼站区间4号联络通道,包含,联络通道
上海浦东机场捷运系统工程T4预留站~S1卫星厅站~T1航站楼站区间4号联络通道,不含,泵站
苏州轨道交通3号线工程玉山路站~竹园路站区间联络通道,包含,联络通道
苏州轨道交通3号线工程玉山路站~竹园路站区间联络通道,不含,泵站
无锡地铁3号线新锡路站~无锡新区站区间1号联络通道,包含,联络通道
无锡地铁3号线新锡路站~无锡新区站区间1号联络通道,不含,泵站
上海浦东国际机场三期扩建工程捷运系统工程S1卫星厅站~T1航站楼站区间1号联络通道,包含,联络通道
上海浦东国际机场三期扩建工程捷运系统工程S1卫星厅站~T1航站楼站区间1号联络通道,不含,泵站
上海浦东国际机场三期扩建工程捷运系统工程S1卫星厅站~T1航站楼站区间2号联络通道,包含,联络通道
上海浦东国际机场三期扩建工程捷运系统工程S1卫星厅站~T1航站楼站区间2号联络通道,不含,泵站
上海浦东国际机场三期扩建工程捷运系统工程S1卫星厅站~T4预留站区间3号联络通道,包含,联络通道
上海浦东国际机场三期扩建工程捷运系统工程S1卫星厅站~T4预留站区间3号联络通道,不含,泵站
宁波轨道交通3号线大通桥站~中兴大桥南站联络通道兼泵站,包含,联络通道兼泵站
常州轨道交通1号线森林公园~百丈出入段联络通道,工期开始,2017年3月
常州轨道交通1号线森林公园~百丈出入段联络通道,工期结束,2017年6月
宁波轨道交通3号线大通桥站~中兴大桥南站联络通道兼泵站,工期开始,2017年2月
宁波轨道交通3号线大通桥站~中兴大桥南站联络通道兼泵站,工期结束,2017年6月
上海轨道交通13号线陈春东路站~莲溪路站联络通道及泵站工程,标高,隧道中心标高-17.845
上海轨道交通13号线陈春东路站~莲溪路站联络通道及泵站工程,建设单位,上海申通地铁集团
上海轨道交通13号线陈春东路站~莲溪路站联络通道及泵站工程,设计单位,南京设计院
上海轨道交通13号线陈春东路站~莲溪路站联络通道及泵站工程,施工单位,中煤隧道公司
上海轨道交通13号线陈春东路站~莲溪路站联络通道及泵站工程,施工时间,2017年6月-2017年8月
上海轨道交通13号线华夏中路~张江出场线侧向泵站,标高,隧道中心标高-15.586
上海轨道交通13号线华夏中路~张江出场线侧向泵站,设计单位,南京设计院
上海轨道交通13号线华夏中路~张江出场线侧向泵站,施工单位,中煤隧道公司
上海轨道交通13号线华夏中路~张江出场线侧向泵站,施工时间,2018年1月-2018年3月
上海申通地铁集团,委托,南京设计院
无锡地铁1号线南延线01标长广溪站~雪浪坪站区间联络通道及泵房工程,标高,轨面标高-15.697
无锡地铁3号线新锡路站~无锡新区站区间1号联络通道,标高,轨面标高-15.697
苏州轨道交通3号线工程玉山路站~竹园路站区间联络通道,工期开始,2017年11月
苏州轨道交通3号线工程玉山路站~竹园路站区间联络通道,工期结束,2018年4月
无锡地铁3号线新锡路站~无锡新区站区间1号联络通道,工期开始,2018年1月
无锡地铁3号线新锡路站~无锡新区站区间1号联络通道,工期结束,2018年5月
上海轨道交通13号线华夏中路~张江出场线侧向泵站,工期开始,2018年1月
上海轨道交通13号线华夏中路~张江出场线侧向泵站,工期结束,2018年3月
上海浦东国际机场三期扩建工程捷运系统工程S1卫星厅站~T1航站楼站区间1号联络通道,工期开始,2018年1月
上海浦东国际机场三期扩建工程捷运系统工程S1卫星厅站~T1航站楼站区间1号联络通道,工期结束,2018年4月
上海浦东国际机场三期扩建工程捷运系统工程S1卫星厅站~T1航站楼站区间2号联络通道,工期开始,2018年1月
上海浦东国际机场三期扩建工程捷运系统工程S1卫星厅站~T1航站楼站区间2号联络通道,工期结束,2018年4月
上海浦东国际机场三期扩建工程捷运系统工程S1卫星厅站~T4预留站区间3号联络通道,工期开始,2018年1月
上海浦东国际机场三期扩建工程捷运系统工程S1卫星厅站~T4预留站区间3号联络通道,工期结束,2018年4月
杭州地铁4号线联庄~水澄桥区间1号联络通道,长度,12.407
杭州地铁4号线联庄~水澄桥区间1号联络通道,设计单位,约翰芬雷华能设计公司
杭州地铁4号线联庄~水澄桥区间1号联络通道,施工单位,中煤隧道公司
杭州地铁4号线联庄~水澄桥区间1号联络通道,中心标高,-20.045
杭州地铁4号线联庄~水澄桥区间1号联络通道,施工时间,2017年5月至2017年8月
常州轨道交通1号线森林公园~百丈出入段联络通道,标高,-9.579
武汉轨道交通7号线王家墩东站~新华路站区间联络通道,标高,-2.076
杭州地铁4号线联庄~水澄桥区间1号联络通道,标高,-20.045
杭州地铁4号线联庄~水澄桥区间2号联络通道及泵站,标高,-26.352
常州轨道交通1号线新区公园~黄河路站区间1号联络通道,标高,-22.806
常州轨道交通1号线新区公园~黄河路站区间2号联络通道,标高,-19.519
武汉轨道交通7号线新华路站~香港路站区间联络通道及泵站,标高,2.697
杭州地铁2号线23标新良路站~良渚站区间联络通道及泵站,标高,-15.058
无锡地铁1号线南延线01标长广溪站~雪浪坪站区间联络通道及泵房工程,标高,-15.697
上海地铁13号线2期长清路站~华夏中路站区间联络通道及侧向泵站,标高,10.14
上海轨道交通13号线陈春东路站~莲溪路站联络通道及泵站工程,标高,-17.845
宁波轨道交通3号线大通桥站~中兴大桥南站联络通道兼泵站,标高,15.33
宁波地铁3号线一期工程明楼站~中兴大桥南站区间联络通道,标高,-13.934
上海地铁13号线华鹏路~下南路区间联络通道,标高,-15.591
武汉地铁21号线黄埔新城~朱家河站3号联络通道及泵站工程,标高,12.64
南京至高淳城际轨道禄口机场至溧水段工程中山东路站~中间盾构工作井盾构区间1号联络通道,标高,15
上海浦东机场捷运系统工程T4预留站~S1卫星厅站~T1航站楼站区间4号联络通道,标高,-13.034
苏州轨道交通3号线工程玉山路站~竹园路站区间联络通道,埋深,21.11
无锡地铁3号线新锡路站~无锡新区站区间1号联络通道,标高,-15.697
上海轨道交通13号线华夏中路~张江出场线侧向泵站,标高,-15.586
上海浦东国际机场三期扩建工程捷运系统工程S1卫星厅站~T1航站楼站区间1号联络通道,标高,-12.502
上海浦东国际机场三期扩建工程捷运系统工程S1卫星厅站~T1航站楼站区间2号联络通道,标高,-10.362
上海浦东国际机场三期扩建工程捷运系统工程S1卫星厅站~T4预留站区间3号联络通道,标高,-7.412
宁波地铁3号线一期工程明楼站~中兴大桥南站区间联络通道,工期开始,2017年7月
宁波地铁3号线一期工程明楼站~中兴大桥南站区间联络通道,工期结束,2019年10月
武汉地铁21号线黄埔新城~朱家河站3号联络通道及泵站工程,工期开始,2017年7月
武汉地铁21号线黄埔新城~朱家河站3号联络通道及泵站工程,工期结束,2017年10月
南京至高淳城际轨道禄口机场至溧水段工程中山东路站~中间盾构工作井盾构区间1号联络通道,工期开始,2017年7月
南京至高淳城际轨道禄口机场至溧水段工程中山东路站~中间盾构工作井盾构区间1号联络通道,工期结束,2017年10月
杭州地铁4号线联庄~水澄桥区间1号联络通道,标高,隧道中心标高约-20.045
杭州地铁4号线联庄~水澄桥区间1号联络通道,建设单位,杭州地铁集团
常州轨道交通1号线森林公园~百丈出入段联络通道,建设单位,中煤隧道公司
武汉轨道交通7号线王家墩东站~新华路站区间联络通道,建设单位,中煤隧道公司
杭州地铁4号线联庄~水澄桥区间1号联络通道,建设单位,中煤隧道公司
杭州地铁4号线联庄~水澄桥区间2号联络通道及泵站,建设单位,中煤隧道公司
常州轨道交通1号线新区公园~黄河路站区间1号联络通道,建设单位,中煤隧道公司
武汉轨道交通7号线新华路站~香港路站区间联络通道及泵站,建设单位,中煤隧道公司
杭州地铁2号线23标新良路站~良渚站区间联络通道及泵站,建设单位,中煤隧道公司
无锡地铁1号线南延线01标长广溪站~雪浪坪站区间联络通道及泵房工程,建设单位,中煤隧道公司
上海地铁13号线2期长清路站~华夏中路站区间联络通道及侧向泵站,建设单位,中煤隧道公司
上海轨道交通13号线陈春东路站~莲溪路站联络通道及泵站工程,建设单位,中煤隧道公司
宁波轨道交通3号线大通桥站~中兴大桥南站联络通道兼泵站,建设单位,中煤隧道公司
宁波地铁3号线一期工程明楼站~中兴大桥南站区间联络通道,建设单位,中煤隧道公司
上海地铁13号线华鹏路~下南路区间联络通道,建设单位,中煤隧道公司
武汉地铁21号线黄埔新城~朱家河站3号联络通道及泵站工程,建设单位,中煤隧道公司
南京至高淳城际轨道禄口机场至溧水段工程中山东路站~中间盾构工作井盾构区间1号联络通道,建设单位,中煤隧道公司
上海浦东机场捷运系统工程T4预留站~S1卫星厅站~T1航站楼站区间4号联络通道,建设单位,中煤隧道公司
苏州轨道交通3号线工程玉山路站~竹园路站区间联络通道,建设单位,中煤隧道公司
无锡地铁3号线新锡路站~无锡新区站区间1号联络通道,建设单位,中煤隧道公司
上海轨道交通13号线华夏中路~张江出场线侧向泵站,建设单位,中煤隧道公司
上海浦东国际机场三期扩建工程捷运系统工程S1卫星厅站~T1航站楼站区间1号联络通道,建设单位,中煤隧道公司
上海浦东国际机场三期扩建工程捷运系统工程S1卫星厅站~T1航站楼站区间2号联络通道,建设单位,中煤隧道公司
上海浦东国际机场三期扩建工程捷运系统工程S1卫星厅站~T4预留站区间3号联络通道,建设单位,中煤隧道公司
约翰芬雷华能设计公司,参与项目,常州轨道交通1号线森林公园~百丈出入段联络通道
约翰芬雷华能设计公司,参与项目,武汉轨道交通7号线王家墩东站~新华路站区间联络通道
约翰芬雷华能设计公司,参与项目,南京至高淳城际轨道禄口机场至溧水段工程中山东路站~中间盾构工作井盾构区间1号联络通道
南京设计院,参与项目,上海地铁13号线长清路站~华夏中路站区间联络通道
南京设计院,参与项目,上海轨道交通13号线陈春东路站~莲溪路站联络通道
南京设计院,参与项目,宁波轨道交通3号线大通桥站~中兴大桥南站联络通道兼泵站
南京设计院,参与项目,上海浦东国际机场三期扩建工程捷运系统工程S1卫星厅站~T1航站楼站区间1号联络通道
南京设计院,参与项目,上海浦东国际机场三期扩建工程捷运系统工程S1卫星厅站~T1航站楼站区间2号联络通道
南京设计院,参与项目,上海浦东国际机场三期扩建工程捷运系统工程S1卫星厅站~T4预留站区间3号联络通道
